ANNUAL AVERAGE DAILY PRODUCTION AND INJECTION FLOW RATES FOR THE CONCEPT 11
Year,  Prod_Oil [MSTB/Day],  Prod_Gas [MSCF/Day],  Prod_Water [MBBL/Day],  Inj_Gas [MSCF/Day],  Inj_Water [MBBL/Day] 
1 , 237.818 , 279742 , 2.18182 , 274147 , 242.769
2 , 229.936 , 280000 , 2.94907 , 274400 , 247.456
3 , 220.877 , 280000 , 11.9749 , 274400 , 250.896
4 , 211.86 , 280000 , 24.0568 , 274400 , 254.114
5 , 197.273 , 272325 , 42.7267 , 266878 , 257.312
6 , 175.298 , 252065 , 64.7024 , 247023 , 260
7 , 157.349 , 235345 , 82.6511 , 230638 , 260
8 , 140.268 , 217194 , 99.7324 , 212851 , 260
9 , 120.608 , 193038 , 119.392 , 189177 , 260
10 , 100.213 , 164202 , 139.787 , 160918 , 260
11 , 80.5884 , 136318 , 159.412 , 133591 , 260
12 , 66.4904 , 114355 , 173.51 , 112068 , 260
13 , 55.7267 , 96331.9 , 184.273 , 94405.3 , 260
14 , 46.7467 , 82502.1 , 191.195 , 80852 , 260
15 , 37.7132 , 66113.4 , 186.504 , 64791.3 , 260
16 , 32.0824 , 56243.2 , 183.376 , 55118.2 , 260
17 , 25.0601 , 44100.4 , 177.868 , 43218.4 , 260
18 , 29.9221 , 52090.7 , 182.07 , 51048.9 , 260
19 , 20.7188 , 35317.5 , 169.713 , 34610.8 , 260
20 , 31.3082 , 52854.2 , 181.327 , 51797.2 , 260
21 , 16.1505 , 26651.7 , 154.815 , 26118.7 , 260
22 , 15.7652 , 25972.4 , 152.397 , 25452.7 , 260
23 , 15.8759 , 26154.8 , 153.467 , 25631.6 , 260
24 , 15.8163 , 26056.2 , 152.89 , 25535.1 , 260
25 , 15.8479 , 26108.5 , 153.197 , 25586.3 , 260

END OF ANNUAL AVERAGE DAILY PRODUCTION AND INJECTION FLOW RATES FOR THE CONCEPT 11
