ANNUAL AVERAGE DAILY PRODUCTION AND INJECTION FLOW RATES FOR THE CONCEPT 4
Year,  Prod_Oil [MSTB/Day],  Prod_Gas [MSCF/Day],  Prod_Water [MBBL/Day],  Inj_Gas [MSCF/Day],  Inj_Water [MBBL/Day] 
1 , 225.414 , 265151 , 2.06802 , 259848 , 222.098
2 , 222.723 , 270625 , 2.40209 , 265212 , 226.529
3 , 207.039 , 261521 , 10.3021 , 256291 , 229.964
4 , 197.695 , 259432 , 20.0972 , 254244 , 232.715
5 , 182.69 , 249803 , 33.5669 , 244807 , 235.329
6 , 162.931 , 231110 , 51.9955 , 226488 , 237.653
7 , 146.643 , 215537 , 67.1249 , 211226 , 239.919
8 , 133.172 , 202513 , 79.5043 , 198463 , 241.675
9 , 118.797 , 185800 , 92.9576 , 182084 , 243.181
10 , 101.985 , 164300 , 107.977 , 161015 , 244.605
11 , 85.5558 , 140379 , 122.168 , 137571 , 245.561
12 , 69.699 , 117676 , 134.622 , 115323 , 245.982
13 , 57.782 , 99324.3 , 143.079 , 97337.9 , 246.092
14 , 50.1108 , 86299.7 , 148.072 , 84573.6 , 246.148
15 , 41.5346 , 72045.8 , 152.756 , 70604.8 , 246.105
16 , 36.4866 , 64627.6 , 154.395 , 63335.1 , 246.151
17 , 31.2688 , 54827.5 , 154.376 , 53730.9 , 246.105
18 , 28.5502 , 49815 , 153.864 , 48818.5 , 246.151
19 , 22.2384 , 39379.1 , 151.034 , 38591.5 , 246.105
20 , 20.3628 , 35607.5 , 148.091 , 34895.6 , 246.151
21 , 27.2017 , 47249.5 , 152.65 , 46304.4 , 246.105
22 , 19.3627 , 32949.3 , 144.969 , 32290 , 246.151
23 , 24.3166 , 40940.7 , 149.632 , 40121.9 , 246.105
24 , 13.9908 , 23120 , 133.181 , 22657.8 , 246.151
25 , 13.6606 , 22505.2 , 132.053 , 22054.9 , 246.105

END OF ANNUAL AVERAGE DAILY PRODUCTION AND INJECTION FLOW RATES FOR THE CONCEPT 4
